Directory;Filename;STL_source;Model;holeArray;finalRotate;finalMirror
oled-128x64;oled-128x64-top-2side.stl;oled-128x64-top.stl;FH;[-1,0,0],[-1,1,0],[-1,2,0],[3,0,0],[3,1,0],[3,2,0];[0,0,0];[0,0,0]
oled-128x64;oled-128x64-top-1side.stl;oled-128x64-top.stl;FH;[-1,0,0],[-1,1,0],[-1,2,0];[0,0,0];[0,0,0]
oled-128x64;oled-128x64-bottom-2side.stl;oled-128x64-bottom.stl;FH;[-1,0,0],[-1,1,0],[-1,2,0],[3,0,0],[3,1,0],[3,2,0];[0,0,0];[0,0,0]
oled-128x64;oled-128x64-bottom-1side.stl;oled-128x64-bottom.stl;FH;[-1,0,0],[-1,1,0],[-1,2,0];[0,0,0];[0,0,0]
oled-128x64;oled-128x64-big-2side.stl;oled-128x64-big.stl;FH;[-1,0,0],[-1,1,0],[-1,2,0],[3,0,0],[3,1,0],[3,2,0];[0,0,0];[0,0,0]
oled-128x64;oled-128x64-big-1side.stl;oled-128x64-big.stl;FH;[-1,0,0],[-1,1,0],[-1,2,0];[0,0,0];[0,0,0]
battery-shield;battery-shield-bottom-1.stl;battery-shield-bottom.stl;F;[-1,0,0];[90,0,0];[0,1,0]
battery-shield;battery-shield-bottom-2.stl;battery-shield-bottom.stl;F;[-1,0,0],[-2,0,0];[90,0,0];[0,1,0]
battery-shield;battery-shield-usb-1.stl;battery-shield-usb.stl;F;[0,0,0];[90,0,0];[1,0,0]
battery-shield;battery-shield-usb-2.stl;battery-shield-usb.stl;F;[0,0,0],[1,0,0];[90,0,0];[1,0,0]
esp32-30;esp32-30.stl;esp32-30.stl;F;;[];[]
generic-corner;generic-corner-1-12.stl;generic-corner12.stl;F;[-1,0,0];[0,270,0];[0,0,0]
generic-corner;generic-corner-1-24.stl;generic-corner24.stl;F;[-1,0,0];[0,270,0];[0,0,0]
generic-corner;generic-corner-1-36.stl;generic-corner36.stl;F;[-1,0,0];[0,270,0];[0,0,0]
generic-corner;generic-corner-1-48.stl;generic-corner48.stl;F;[-1,0,0];[0,270,0];[0,0,0]
generic-corner;generic-corner-1-60.stl;generic-corner60.stl;F;[-1,0,0];[0,270,0];[0,0,0]
tm1637;tm1637-bottom.stl;TM1637-bottom.stl;F;[0,0,0],[0,1,0],[0,2,0],[0,3,0],[0,4,0],[-4,0,0],[-4,1,0],[-4,2,0],[-4,3,0],[-4,4,0];[0,0,0];[0,0,0]
tm1637;tm1637-top.stl;TM1637-top.stl;F;[0,0,0],[0,1,0],[0,2,0],[0,3,0],[0,4,0],[-4,0,0],[-4,1,0],[-4,2,0],[-4,3,0],[-4,4,0];[0,0,0];[0,0,0]
tm1637;tm1637-1other-side-bottom.stl;TM1637-bottom.stl;F;[-4,0,0],[-4,1,0],[-4,2,0],[-4,3,0],[-4,4,0];[0,0,0];[0,0,0]
tm1637;tm1637-1other-side-top.stl;TM1637-top.stl;F;[0,0,0],[0,1,0],[0,2,0],[0,3,0],[0,4,0];[0,0,0];[0,0,0]
tm1637;tm1637-1side-bottom.stl;TM1637-bottom.stl;F;[0,0,0],[0,1,0],[0,2,0],[0,3,0],[0,4,0];[0,0,0];[0,0,0]
tm1637;tm1637-1side-top.stl;TM1637-top.stl;F;[-4,0,0],[-4,1,0],[-4,2,0],[-4,3,0],[-4,4,0];[0,0,0];[0,0,0]
tm1637;tm1637-small-bottom.stl;TM1637-bottom.stl;F;[-1,5,0],[-2,5,0],[-3,5,0];[0,0,0];[0,0,0]
tm1637;tm1637-small-top.stl;TM1637-top.stl;F;[-1,5,0],[-2,5,0],[-3,5,0];[0,0,0];[0,0,0]
arduino-nano;nano-bottom-2side.stl;nano-bottom.stl;F;[-1,0,0],[-1,1,0],[-1,2,0],[-1,3,0],[-1,4,0],[2,0,0],[2,1,0],[2,2,0],[2,3,0],[2,4,0];[0,270,0];[0,0,0]
arduino-nano;nano-top-2side.stl;nano-top.stl;F;[-1,0,0],[-1,1,0],[-1,2,0],[-1,3,0],[-1,4,0],[2,0,0],[2,1,0],[2,2,0],[2,3,0],[2,4,0];[0,270,0];[0,0,0]
